invoice_line_id,invoice_id,invoice_date,invoice_status,quantity,unit_price,discount,gross_amount,discount_amount,net_amount_local,revenue_usd,cost_total,profit_local,profit_usd,currency,rate_to_usd,customer_id,customer_name,customer_type,customer_country,customer_signup_date,product_id,product_name,product_category,cost_price,region,region_country,invoice_year,invoice_month,invoice_quarter,invoice_day_of_week,invoice_month_name,invoice_day_name
L0001288,INV000361,2023-11-25,Paid,9,511,0.05,4599,229.95,4369.05,48.5,873,3496.05,38.81,INR,0.0111,C0147,Customer_147,Test,USA,2022-02-27,P002,Product_2,Electronics,97,NORTH,null,2023,11,4,7,November,Saturday
L0001351,INV000379,2023-05-17,Cancelled,7,275,0.1,1925,192.5,1732.5,1732.5,1365,367.5,367.5,USD,1,C0245,Customer_245,Retail,INDIA,2021-04-13,P043,Product_43,Accessories,195,WEST,null,2023,5,2,4,May,Wednesday
L0001361,INV000382,2023-03-21,Paid,8,824,0.05,6592,329.6,6262.4,6262.4,3608,2654.4,2654.4,USD,1,C0289,Customer_289,Corporate,INDIA,2022-07-07,P009,Product_9,Electronics,451,NORTH,null,2023,3,1,3,March,Tuesday
L0001384,INV000389,2023-02-16,Paid,1,776,0.1,776,77.6,698.4,773.9,499,199.4,220.96,EUR,1.1081,C0217,Customer_217,Corporate,INDIA,2024-02-03,P050,Product_50,Electronics,499,NORTH,null,2023,2,1,5,February,Thursday
L0001390,INV000392,2024-01-27,Paid,1,924,0.1,924,92.4,831.6,954.51,451,380.6,436.85,EUR,1.1478,C0230,Customer_230,Test,INDIA,2021-05-22,P009,Product_9,Electronics,451,WEST,null,2024,1,1,7,January,Saturday
L0001391,INV000392,2024-01-27,Paid,10,608,0.05,6080,304,5776,6629.69,3390,2386,2738.65,EUR,1.1478,C0230,Customer_230,Test,INDIA,2021-05-22,P030,Product_30,Accessories,339,WEST,null,2024,1,1,7,January,Saturday
L0001415,INV000399,2023-07-31,Open,7,286,0.1,2002,200.2,1801.8,1801.8,0,1801.8,1801.8,USD,1,C0035,Customer_35,Test,UNKNOWN,2023-11-30,P029,Product_29,Accessories,0,NORTH,null,2023,7,3,2,July,Monday
L0001426,INV000403,2024-08-14,Paid,1,422,0,422,0,422,422,310,112,112,USD,1,C0165,Customer_165,Corporate,INDIA,2022-06-09,P021,Product_21,Accessories,310,EAST,null,2024,8,3,4,August,Wednesday
L0001429,INV000405,2023-10-09,Open,2,303,0,606,0,606,7.15,378,228,2.69,INR,0.0118,C0032,Customer_32,Test,INDIA,2021-07-23,P053,Product_53,Electronics,189,SOUTH,null,2023,10,4,2,October,Monday
L0001431,INV000406,2024-07-23,Open,2,252,0,504,0,504,504,832,-328,-328,USD,1,C0254,Customer_254,Retail,USA,2022-09-21,P032,Product_32,Electronics,416,EAST,null,2024,7,3,3,July,Tuesday
L0001433,INV000406,2024-07-23,Open,6,547,0.1,3282,328.2,2953.8,2953.8,2028,925.8,925.8,USD,1,C0254,Customer_254,Retail,USA,2022-09-21,P038,Product_38,Electronics,338,EAST,null,2024,7,3,3,July,Tuesday
L0001436,INV000407,2024-06-21,Open,4,578,0.05,2312,115.6,2196.4,25.92,204,1992.4,23.51,INR,0.0118,C0164,Customer_164,Corporate,USA,2021-08-24,P007,Product_7,Electronics,51,WEST,null,2024,6,2,6,June,Friday
L0001486,INV000419,2023-09-25,Open,6,354,0.05,2124,106.2,2017.8,24.21,306,1711.8,20.54,INR,0.012,C0185,Customer_185,Retail,USA,2023-01-09,P007,Product_7,Electronics,51,WEST,null,2023,9,3,2,September,Monday
L0001508,INV000426,2023-06-23,Paid,5,973,0,4865,0,4865,54.97,1330,3535,39.95,INR,0.0113,C0072,Customer_72,Corporate,INDIA,2020-07-25,P010,Product_10,Electronics,266,WEST,null,2023,6,2,6,June,Friday
L0001572,INV000444,2023-10-05,Paid,10,176,0.1,1760,176,1584,1584,540,1044,1044,USD,1,C0024,Customer_24,Corporate,INDIA,2024-01-06,P047,Product_47,Electronics,54,EAST,null,2023,10,4,5,October,Thursday
L0001576,INV000444,2023-10-05,Paid,6,608,0,3648,0,3648,3648,324,3324,3324,USD,1,C0024,Customer_24,Corporate,INDIA,2024-01-06,P047,Product_47,Electronics,54,EAST,null,2023,10,4,5,October,Thursday
L0001592,INV000449,2023-02-24,Paid,10,668,0,6680,0,6680,7219.08,3540,3140,3393.4,EUR,1.0807,C0051,Customer_51,Corporate,USA,2024-02-03,P023,Product_23,Accessories,354,SOUTH,null,2023,2,1,6,February,Friday
L0001607,INV000453,2024-11-27,Paid,0,708,0.1,0,0,0,0,0,0,0,INR,0.0122,C0300,Customer_300,Corporate,INDIA,2020-04-13,P007,Product_7,Electronics,51,WEST,null,2024,11,4,4,November,Wednesday
L0001671,INV000473,2023-04-27,Paid,0,800,0,0,0,0,0,0,0,0,USD,1,C0289,Customer_289,Corporate,INDIA,2022-07-07,P027,Product_27,Electronics,354,SOUTH,null,2023,4,2,5,April,Thursday
L0001679,INV000475,2024-02-23,Paid,10,624,0,6240,0,6240,6240,3210,3030,3030,USD,1,C0256,Customer_256,Test,INDIA,2023-01-09,P020,Product_20,Electronics,321,EAST,null,2024,2,1,6,February,Friday
L0001681,INV000476,2023-09-16,Open,7,500,0.05,3500,175,3325,40.9,3241,84,1.03,INR,0.0123,C0079,Customer_79,Test,USA,2022-01-28,P046,Product_46,Electronics,463,WEST,null,2023,9,3,7,September,Saturday
L0001699,INV000480,2023-09-12,Open,2,541,0,1082,0,1082,1082,668,414,414,USD,1,C0182,Customer_182,Test,USA,2020-11-09,P012,Product_12,Accessories,334,NORTH,null,2023,9,3,3,September,Tuesday
L0001714,INV000485,2023-03-29,Cancelled,8,298,0,2384,0,2384,30.04,1632,752,9.48,INR,0.0126,C0060,Customer_60,Test,INDIA,2023-06-20,P045,Product_45,Electronics,204,SOUTH,null,2023,3,1,4,March,Wednesday
L0001726,INV000488,2023-11-23,Paid,3,630,0,1890,0,1890,2020.79,261,1629,1741.73,EUR,1.0692,C0035,Customer_35,Test,UNKNOWN,2023-11-30,P039,Product_39,Electronics,87,NORTH,null,2023,11,4,5,November,Thursday
L0001738,INV000492,2024-10-06,Open,2,979,0,1958,0,1958,1958,948,1010,1010,USD,1,C0095,Customer_95,Retail,USA,2022-08-04,P060,Product_60,Accessories,474,WEST,null,2024,10,4,1,October,Sunday
L0001758,INV000498,2024-09-17,Cancelled,5,272,0,1360,0,1360,15.91,795,565,6.61,INR,0.0117,C0201,Customer_201,Retail,INDIA,2024-02-07,P005,Product_5,Electronics,159,NORTH,null,2024,9,3,3,September,Tuesday
L0001813,INV000514,2024-10-31,Open,5,292,0.1,1460,146,1314,1493.23,1290,24,27.27,EUR,1.1364,C0127,Customer_127,Test,INDIA,2021-06-22,P004,Product_4,Electronics,258,NORTH,null,2024,10,4,5,October,Thursday
L0001839,INV000522,2023-09-11,Cancelled,1,983,0,983,0,983,1053.19,430,553,592.48,EUR,1.0714,C0202,Customer_202,Corporate,UNKNOWN,2022-09-22,P052,Product_52,Accessories,430,SOUTH,null,2023,9,3,2,September,Monday
L0001841,INV000522,2023-09-11,Cancelled,6,282,0,1692,0,1692,1812.81,2496,-804,-861.41,EUR,1.0714,C0202,Customer_202,Corporate,UNKNOWN,2022-09-22,P032,Product_32,Electronics,416,SOUTH,null,2023,9,3,2,September,Monday
L0001903,INV000538,2023-05-04,Open,3,726,0,2178,0,2178,26.14,1353,825,9.9,INR,0.012,C0217,Customer_217,Corporate,INDIA,2024-02-03,P009,Product_9,Electronics,451,SOUTH,null,2023,5,2,5,May,Thursday
L0001905,INV000538,2023-05-04,Open,6,328,0,1968,0,1968,23.62,2334,-366,-4.39,INR,0.012,C0217,Customer_217,Corporate,INDIA,2024-02-03,P049,Product_49,Accessories,389,SOUTH,null,2023,5,2,5,May,Thursday
L0001912,INV000540,2023-04-16,Paid,7,573,0.1,4011,401.1,3609.9,3791.84,1407,2202.9,2313.93,EUR,1.0504,C0161,Customer_161,Test,USA,2023-08-05,P014,Product_14,Accessories,201,EAST,null,2023,4,2,1,April,Sunday
L0001950,INV000554,2023-09-26,Open,5,375,0.05,1875,93.75,1781.25,1781.25,1770,11.25,11.25,USD,1,C0111,Customer_111,Test,USA,2021-03-08,P023,Product_23,Accessories,354,NORTH,null,2023,9,3,3,September,Tuesday
L0001953,INV000556,2024-12-19,Cancelled,5,967,0.1,4835,483.5,4351.5,4351.5,395,3956.5,3956.5,USD,1,C0206,Customer_206,Test,INDIA,2020-09-19,P015,Product_15,Electronics,79,SOUTH,null,2024,12,4,5,December,Thursday
L0001955,INV000556,2024-12-19,Cancelled,4,531,0.05,2124,106.2,2017.8,2017.8,1308,709.8,709.8,USD,1,C0206,Customer_206,Test,INDIA,2020-09-19,P016,Product_16,Electronics,327,SOUTH,null,2024,12,4,5,December,Thursday
L0001974,INV000560,2023-09-08,Open,9,229,0,2061,0,2061,2214.75,3006,-945,-1015.5,EUR,1.0746,C0045,Customer_45,Retail,USA,2020-07-17,P012,Product_12,Accessories,334,NORTH,null,2023,9,3,6,September,Friday
L0001981,INV000562,2023-01-13,Paid,9,449,0,4041,0,4041,45.26,4491,-450,-5.04,INR,0.0112,C0071,Customer_71,Test,INDIA,2021-04-21,P050,Product_50,Electronics,499,NORTH,null,2023,1,1,6,January,Friday
L0002001,INV000566,2023-09-27,Open,10,599,0,5990,0,5990,75.47,510,5480,69.05,INR,0.0126,C0296,Customer_296,Corporate,USA,2020-06-03,P007,Product_7,Electronics,51,NORTH,null,2023,9,3,4,September,Wednesday
L0002011,INV000569,2023-04-16,Paid,3,598,0,1794,0,1794,20.81,0,1794,20.81,INR,0.0116,C0294,Customer_294,Retail,UNKNOWN,2022-08-05,P017,Product_17,Electronics,0,NORTH,null,2023,4,2,1,April,Sunday
L0002019,INV000572,2023-07-03,Paid,7,925,0,6475,0,6475,84.18,763,5712,74.26,INR,0.013,C0019,Customer_19,Corporate,USA,2022-10-31,P051,Product_51,Electronics,109,WEST,null,2023,7,3,2,July,Monday
L0002042,INV000581,2023-01-25,Paid,3,171,0,513,0,513,5.75,978,-465,-5.21,INR,0.0112,C0120,Customer_120,Corporate,INDIA,2022-07-28,P001,Product_1,Unknown,326,EAST,null,2023,1,1,4,January,Wednesday
L0002048,INV000582,2023-12-10,Cancelled,3,290,0.1,870,87,783,8.69,930,-147,-1.63,INR,0.0111,C0001,Customer_1,Test,USA,2023-08-02,P021,Product_21,Accessories,310,WEST,null,2023,12,4,1,December,Sunday
L0002078,INV000591,2023-05-20,Paid,9,633,0,5697,0,5697,5697,1665,4032,4032,USD,1,C0300,Customer_300,Corporate,INDIA,2020-04-13,P008,Product_8,Electronics,185,SOUTH,null,2023,5,2,7,May,Saturday
L0002085,INV000592,2023-06-18,Open,4,355,0.05,1420,71,1349,1498.6,0,1349,1498.6,EUR,1.1109,C0231,Customer_231,Test,UNKNOWN,2021-04-05,P029,Product_29,Accessories,0,EAST,null,2023,6,2,1,June,Sunday
L0002114,INV000601,2024-02-15,Cancelled,3,267,0.05,801,40.05,760.95,8.75,567,193.95,2.23,INR,0.0115,C0191,Customer_191,Retail,USA,2020-02-09,P053,Product_53,Electronics,189,NORTH,null,2024,2,1,5,February,Thursday
L0002125,INV000604,2024-04-17,Open,5,719,0.1,3595,359.5,3235.5,3235.5,0,3235.5,3235.5,USD,1,C0026,Customer_26,Retail,USA,2023-12-07,P017,Product_17,Electronics,0,WEST,null,2024,4,2,4,April,Wednesday
L0002134,INV000606,2023-12-29,Cancelled,6,418,0,2508,0,2508,2508,2580,-72,-72,USD,1,C0110,Customer_110,Corporate,INDIA,2020-05-15,P052,Product_52,Accessories,430,EAST,null,2023,12,4,6,December,Friday
L0002187,INV000627,2024-10-16,Paid,5,615,0.05,3075,153.75,2921.25,35.93,1280,1641.25,20.19,INR,0.0123,C0250,Customer_250,Test,USA,2022-11-18,P025,Product_25,Electronics,256,EAST,null,2024,10,4,4,October,Wednesday
L0002209,INV000632,2024-09-08,Paid,5,374,0.05,1870,93.5,1776.5,20.61,2420,-643.5,-7.46,INR,0.0116,C0163,Customer_163,Corporate,INDIA,2020-08-16,P003,Product_3,Unknown,484,SOUTH,null,2024,9,3,1,September,Sunday
L0002230,INV000638,2023-06-20,Cancelled,8,472,0,3776,0,3776,4006.34,3392,384,407.42,EUR,1.061,C0212,Customer_212,Retail,INDIA,2022-12-16,P011,Product_11,Electronics,424,WEST,null,2023,6,2,3,June,Tuesday
L0002247,INV000642,2023-12-17,Paid,8,570,0.05,4560,228,4332,4957.97,1272,3060,3502.17,EUR,1.1445,C0088,Customer_88,Retail,INDIA,2023-06-01,P005,Product_5,Electronics,159,SOUTH,null,2023,12,4,1,December,Sunday
L0002249,INV000643,2024-07-14,Paid,10,308,0,3080,0,3080,3371.06,3380,-300,-328.35,EUR,1.0945,C0048,Customer_48,Retail,UNKNOWN,2023-05-21,P038,Product_38,Electronics,338,WEST,null,2024,7,3,1,July,Sunday
L0002263,INV000650,2024-11-08,Paid,1,409,0,409,0,409,409,0,409,409,USD,1,C0246,Customer_246,Test,USA,2020-05-18,P028,Product_28,Electronics,0,NORTH,null,2024,11,4,6,November,Friday
L0002279,INV000654,2024-01-15,Open,1,720,0.05,720,36,684,751.31,157,527,578.86,EUR,1.0984,C0196,Customer_196,Corporate,UNKNOWN,2020-04-28,P054,Product_54,Electronics,157,SOUTH,null,2024,1,1,2,January,Monday
L0002328,INV000669,2024-02-25,Open,8,869,0.1,6952,695.2,6256.8,7084.57,3808,2448.8,2772.78,EUR,1.1323,C0136,Customer_136,Test,UNKNOWN,2022-10-07,P044,Product_44,Electronics,476,WEST,null,2024,2,1,1,February,Sunday
L0002338,INV000674,2023-10-15,Paid,4,574,0,2296,0,2296,29.62,1136,1160,14.96,INR,0.0129,C0252,Customer_252,Test,INDIA,2021-07-24,P035,Product_35,Electronics,284,NORTH,null,2023,10,4,1,October,Sunday
L0002350,INV000679,2024-12-27,Paid,5,890,0.05,4450,222.5,4227.5,4614.74,2415,1812.5,1978.52,EUR,1.0916,C0260,Customer_260,Retail,USA,2023-03-26,P058,Product_58,Electronics,483,SOUTH,null,2024,12,4,6,December,Friday
L0002356,INV000680,2023-06-27,Paid,3,766,0.1,2298,229.8,2068.2,2068.2,471,1597.2,1597.2,USD,1,C0099,Customer_99,Retail,UNKNOWN,2023-11-10,P054,Product_54,Electronics,157,NORTH,null,2023,6,2,3,June,Tuesday
L0002374,INV000684,2024-08-31,Cancelled,6,327,0,1962,0,1962,1962,1224,738,738,USD,1,C0229,Customer_229,Test,INDIA,2020-09-04,P045,Product_45,Electronics,204,WEST,null,2024,8,3,7,August,Saturday
L0002417,INV000695,2023-10-11,Cancelled,8,523,0,4184,0,4184,4794.45,872,3312,3795.22,EUR,1.1459,C0167,Customer_167,Corporate,UNKNOWN,2022-07-18,P051,Product_51,Electronics,109,EAST,null,2023,10,4,4,October,Wednesday
